"firstName","lastName","email","phone","gaurdian","class","address","school_ID"
"Cisco1","Deb","email6a@gmail.com",7005179663,,"10-B","P.O AMTALI,VILL AMTALI MADHYAPARA","nsv-7-2013-10"
"Nodejs1","Deb","email7a@gmail.com",7005179663,,"10-A","P.O AMTALI,VILL AMTALI MADHYAPARA","nsv-7-2013-11"
"Captain1","Deb","email8a@gmail.com",7005179663,,"11-A","P.O AMTALI,VILL AMTALI MADHYAPARA","nsv-7-2013-12"
"Dhoni1","Deb","email9a@gmail.com",7005179663,,"11-B","P.O AMTALI,VILL AMTALI MADHYAPARA","nsv-7-2013-13"
"Nil1","Deb","email10a@gmail.com",7005179663,,"12-B","P.O AMTALI,VILL AMTALI MADHYAPARA","nsv-7-2013-14"
"React1","Deb","email11a@gmail.com",7005179663,,"9-B","P.O AMTALI,VILL AMTALI MADHYAPARA","nsv-7-2013-15"
"Nilanjan12","Deb","nilanjan1729nsvianab@gmail.com",7005179663,,"9-A","P.O AMTALI,VILL AMTALI MADHYAPARA","nsv-9-2013-1"
"dev12","Deb","nilanjan172nsvianab@gmail.com",7005179663,,"10-A","P.O AMTALI,VILL AMTALI MADHYAPARA","nsv-9-2013-2"
"brad12","Deb","nilanjan1729resoab@gmail.com",7005179663,,"10-B","P.O AMTALI,VILL AMTALI MADHYAPARA","nsv-9-2013-3"
"web12","Deb","nilanjan.dev.1729ab@gmail.com",7005179663,,"11-A","P.O AMTALI,VILL AMTALI MADHYAPARA","nsv-9-2013-4"
"palak12","Deb","email1ab@gmail.com",7005179663,,"11-B","P.O AMTALI,VILL AMTALI MADHYAPARA","nsv-9-2013-5"
"iron Man12","Deb","email2ab@gmail.com",7005179663,,"12-A","P.O AMTALI,VILL AMTALI MADHYAPARA","nsv-9-2013-6"
"Jarvis12","Deb","email3ab@gmail.com",7005179663,,"12-B","P.O AMTALI,VILL AMTALI MADHYAPARA","nsv-9-2013-7"
"facebook12","Deb","email4ab@gmail.com",7005179663,,"9-B","P.O AMTALI,VILL AMTALI MADHYAPARA","nsv-9-2013-8"
"Google12","Deb","email5ab@gmail.com",7005179663,,"9-A","P.O AMTALI,VILL AMTALI MADHYAPARA","nsv-9-2013-9"
"Cisco12","Deb","email6ab@gmail.com",7005179663,,"10-B","P.O AMTALI,VILL AMTALI MADHYAPARA","nsv-9-2013-10"
"Nodejs12","Deb","email7ab@gmail.com",7005179663,,"10-A","P.O AMTALI,VILL AMTALI MADHYAPARA","nsv-9-2013-11"
"Captain12","Deb","email8ab@gmail.com",7005179663,,"11-A","P.O AMTALI,VILL AMTALI MADHYAPARA","nsv-9-2013-12"
"Dhoni12","Deb","email9ab@gmail.com",7005179663,,"11-B","P.O AMTALI,VILL AMTALI MADHYAPARA","nsv-9-2013-13"
"Nil12","Deb","email10ab@gmail.com",7005179663,,"12-B","P.O AMTALI,VILL AMTALI MADHYAPARA","nsv-9-2013-14"
"React12","Deb","email11ab@gmail.com",7005179663,,"9-B","P.O AMTALI,VILL AMTALI MADHYAPARA","nsv-9-2013-15"
"Nilanjan 123","Deb","gmail.gmail@gmail.com",7002179663,,"12-A","P.O AMTALI,VILL AMTALI MADHYAPARA","nsv-7-2013-788"
